video_id,views,likes,comments
EMZdc03JWEg,4422977,60743,4164
sNw4Hf9qeko,5830788,76291,4152
M3jIteZtZAo,4674673,67407,3559
-j_yu-qc9eY,6116161,111767,4488
t7n4PW-ofNg,10090604,176633,7145
xyP2RGOle9I,8383814,202991,17400
mai8nHdQBrE,12740526,288758,10222
SpB6FmN1ttU,4366565,81023,4866
1MFyKz7HlI8,8161467,150337,5986
N8CEWeWGLFQ,5038918,100747,6948
EqIxhUglH_0,9092479,176967,11244
YTyLg7VRsLU,5575926,104938,4069
Z4czIkY98YM,7197106,137803,9433
e5HT2joCX0U,9108681,184370,10787
tNOMkDBXVdc,7814363,170981,7322
kWNDO41fGFc,7003909,183764,7106
79PZR5MTKVQ,9126846,237077,11825
fp2aEGuCbKM,10081144,230840,11291
cYW8XgXq4Wk,11154051,241157,25579
F83iU4Kf3gg,7131464,164584,9467
rUVfQNCHgFw,7996243,160121,9780
5UUee31wRNI,5880766,119431,5087
VjWTVgA0rZE,16728943,348499,15091
N0AVOD2KuKI,5450070,98143,6757
GG4dXGVE3Aw,10995864,270986,19547
sV0iMi0E-kE,5078787,92449,4879
eft9S5aFsq0,9456099,215695,8313
Pt5HGeDtGsg,4494109,89701,3945
x4yInSF7e_Q,6844243,156822,5705
IX2L7hIkMTk,6967044,118761,3648
btx1hNY-W3w,6213815,120785,4267
Nx9WJrfuuLY,4286709,70268,3639
UcYr2G06yng,7263297,161020,11828
Ngof9ebuVOU,4689754,76849,4433
uQsQJej6VAw,7771049,132628,7129
OacCw4BeNXw,4898759,92198,5900
lZ236zc9vfQ,3814439,73942,5231
yjLJZiUv0js,7339759,192939,9504
DKFDw9Yn7dc,8757142,181692,5415
pdW99aBZi5Q,8192823,147837,8331
6JCCceVyg5w,12706472,372255,30438
6WfmCgWK4m4,5762870,93592,5036
5TqLfgy1FkQ,3935871,69731,4018
WOn-X1d_v1c,5984365,102095,5153
GDzoBwRISro,4175077,91098,4556
D1QCO1EOmZ4,5877845,103320,6151
WlU2dwZwZ9g,9057774,172984,7122
BSx024sUvkA,6293923,114866,6828
L8W2BcnAmkU,5198392,98940,3758
qsPhBBQE42I,5207745,93839,6223
yhQKK-96Wg4,4690775,89152,4496
zXvo-sepfjA,3872314,66883,4941
hwGRioKBhWU,2535362,44945,3354
Mv1m41zhaHs,4495467,91271,4241
emWhmRekiRc,5454105,117636,4578
VLJXwKmkhFU,5287211,162435,8537
afIJFn1cjRY,4851633,107225,4398
QLDKOhtpYLg,7786718,160147,5512
ABOutSSNCiw,3570619,74772,3337
ClPCBzCvP3s,4138665,88007,14493
o2DrwrBcZg4,4214961,79148,6125
1v7Eqxh3FBI,6200470,105192,5762
dQVFeCIX3cw,5411814,106337,6990
gdU815M_8rU,4096027,83770,4447
9AsDZLJPnkw,6277471,122155,6425
xLUYTQLuzTY,3220746,64852,3450
f1JdrnJaCos,9232954,194091,9356
VH-EDzoBEA4,8164260,182805,14422
-oQtnWIHVO8,7957814,194885,11445
Irf_aHHDeQ0,4732836,86865,3378
FWoDnm2ezEg,4112050,110833,9012
TQQUDS8uhaU,6513915,142569,6201
bkpMP8tBV9s,2781784,56924,3733
hHuahFR3_dc,2627113,51931,3387
CbzymrTgo80,5177815,103187,5395
kWFeCeTc51I,3058898,65210,5173
HAPAiq6rCnI,4993453,108803,7937
jcyGOlU-KPE,2626208,70800,4822
dwJrlxi4qtQ,2961442,77200,6487
